N-GW-107-585;3-4-CN00234-2
N-GW-126-585;3-4-CN00233-2
N-GW-141-585;11-4-N00025-2
N-GW-148-585;3-16-CN00130-2
Z-GW-022-585;6-20-Z00106-2
Z-GW-008-585;6-20-Z00080-2
Z-GW-050-585;6-20-Z00070-2
N-GW-078-585;3-4-CN00216-2
Z-GW-023-585;6-20-Z00107-2
Z-GW-034-585;6-20-Z00071-2
N-GW-013-585;3-4-CN00220-2
K-GW-092-585;7-4-K00418-2
N-GW-072-585;3-25-N00196-2
N-GW-085-585;3-4-CN00235-2
N-GW-145-585;3-21-CN00180-2
N-GW-189-585;11-4-N00028-2
Z-GW-003-585;6-20-Z00076-2
MD-GW-005-585;5-15-M00019-2
Z-GW-021-585;6-20-Z00105-2
Z-GW-027-585;6-20-Z00111-2
Z-GW-049-585;6-20-Z00098-2
Z-GW-006-585;6-20-Z00079-2
N-GW-073-585;3-4-CN00199-2
N-GW-074-585;3-4-CN00201-2
N-GW-168-585;3-4-CN00231-2
Z-GW-020-585;6-20-Z00104-2
B-GW-026-585;2-25-B00320-2
K-GW-084-585;7-4-K00330-2
B-GW-036-585;2-25-B00314-2
K-GW-073-585;7-4-K00417-2
N-GW-081-585;3-4-CN00206-2
N-GW-123-585;11-21-N00187-2
Z-GW-045-585;6-20-Z00102-2
Z-GW-026-585;6-20-Z00110-2
MD-GW-003-585;5-15-M00014-2
K-GW-071-585;7-21-K00399-2
Z-GW-051-585;6-20-Z00100-2
Z-GW-012-585;6-20-Z00085-2
Z-GW-018-585;6-20-Z00091-2
B-GW-022-585;2-25-B00313-2
Z-GW-031-585;6-4-Z00149-2
Z-GW-025-585;6-20-Z00109-2
Z-GW-030-585;6-20-Z00114-2
Z-GW-048-585;6-20-Z00099-2
MD-GW-006-585;5-9-M00021-2
Z-GW-019-585;6-20-Z00103-2
N-GW-119-585;3-4-CN00161-2
K-GW-021-585;7-17-K00462-2
N-GW-086-585;3-14-CN00249-2
Z-GW-016-585;6-20-Z00089-2
Z-GW-017-585;6-20-Z00090-2
N-GW-137-585;3-4-CN00134-2
MD-GW-013-585;5-15-M00024-2
N-GW-134-585;11-21-N00183-2
B-GW-024-585;2-14-B00382-2
KR-GW-003-585;4-9-K00003-2
MD-GW-015-585;5-15-M00013-2
B-GW-006-585;2-4-B00344-2
N-GW-065-585;3-4-CN00143-2
Z-GW-036-585;6-20-Z00148-2
Z-GW-055-585;6-4-Z00046-2
Z-GW-009-585;6-20-Z00082-2
K-GW-029-585;7-4-K00456-2
